Name,Address,Price,Type,Reviews,description,Stars
The Silk Route Ladakh,"Leh, 1.1 km to City centre","₹3,357",Hotel,7.7,Hotel,
The Nature Residency,"Leh, 4.9 km to City centre","₹3,880",Hotel,7.9,Hotel,3
Donskit Guesthouse Room 2,"Leh, 2.1 km to City centre","₹1,597",House / Apartment,10,Just addedHouse / ApartmentSuperhostSuperhosts are Airbnb's experienced hosts who are committed to providing great stays for guests.2 guests1 bedroom1 bathroom,
Gongma Guest House,"Leh, 0.8 km to City centre","₹1,368",House / Apartment,9.6,Just addedHouse / ApartmentEntire place16 guests10 bedrooms8 bathrooms,3
Hotel Ladakh Heaven,"Leh, 1.4 km to City centre","₹4,308",Hotel,8.1,Hotel,
Royal Palace Hotel,"Leh, 0.2 km to City centre","₹5,892",Hotel,7.7,"HotelBudget friendlyWe’ve awarded this accommodation our “Budget friendly” badge, which is reserved for quality accommodations that are cheaper than 70% of options at this destination on our site.",
Khangsar Tibetan Home,"Leh, 5.1 km to City centre","₹3,043",House / Apartment,8.9,Just addedHouse / Apartment,
Reenam,"Leh, 2.5 km to City centre","₹3,021",Hotel,8.2,Hotel,3
Karakoram,"Leh, 1.9 km to City centre","₹4,252",Hotel,8,Hotel,
Osel Premium Homestay,"Leh, 0.3 km to City centre","₹4,562",House / Apartment,10,Just addedHouse / ApartmentSuperhostSuperhosts are Airbnb's experienced hosts who are committed to providing great stays for guests.3 guests1 bedroom1 bathroom,
Hotel Kaal,"Leh, 0.6 km to City centre","₹3,524",Hotel,7.6,Hotel,3
Sangto Villa Perfect Location,"Leh, 1.3 km to City centre","₹4,229",House / Apartment,9.4,Just addedHouse / ApartmentEntire place16 guests12 bedrooms12 bathrooms,
Mahay Palace,"Leh, 1.5 km to City centre","₹4,480",Hotel,8,Hotel,
Pangong Lake View Cottages And Camps,"Leh, 85.8 km to City centre","₹4,924",House / Apartment,6.9,House / Apartment,
Hermit Hut,"Leh, 2.1 km to City centre","₹2,685",Hotel,8.3,Hotel,
Stendel,"Leh, 44.2 km to City centre","₹2,909",Hotel,8.2,Hotel,
Ladakh Sarai,"Leh, 4.6 km to City centre","₹5,379",Resort,8.4,Resort,
Hotel Nezer View Guest House,"Leh, 1.1 km to City centre","₹4,476",Hotel,8.1,Hotel,1
Lumbini,"Leh, 1.1 km to City centre","₹4,144",Hotel,5.9,Hotel,3
Kanika Himalayan View,"Leh, 92.6 km to City centre","₹3,357",Hotel,6.4,Hotel,
Hotel Tsomoriri Lake View,"Leh, 2.5 km to City centre","₹5,259",Hotel,7.4,Hotel,
Adus Eternal Comfort 1,"Leh, 1.8 km to City centre","₹2,851",House / Apartment,9.2,Just addedHouse / ApartmentSuperhostSuperhosts are Airbnb's experienced hosts who are committed to providing great stays for guests.2 guests1 bedroom1 bathroom,
The Grand Dragon Ladakh,"Leh, 0.5 km to City centre","₹9,504",Hotel,8.6,Hotel,5
Himalayan Residency Ladakh,"Leh, 3.0 km to City centre","₹5,040",Serviced apartment,7.4,Serviced apartment,
"Hidden Valley Homestay, Stakmo Village. Leh Ladakh","Leh, 0.4 km to City centre",₹977,House / Apartment,10,Just addedHouse / ApartmentEntire place4 guests2 bedrooms2 bathrooms,
Sunset View Room In Ladakh,"Leh, 2.7 km to City centre","₹6,358",House / Apartment,8.3,Just addedHouse / ApartmentEntire place3 guests1 bedroom1 bathroom,
Khangsar Deluxe Home Stay,"Leh, 2.4 km to City centre","₹9,580",House / Apartment,10,Just addedHouse / ApartmentEntire place8 guests4 bedrooms8 bathrooms,
"Travellers House, Leh. India","Leh, 1.8 km to City centre","₹2,053",House / Apartment,9.6,Just addedHouse / ApartmentEntire place6 guests3 bedrooms3 bathrooms,
Hotel Natures Land,"Leh, 1.9 km to City centre","₹2,744",Serviced apartment,8,Serviced apartment,
The Mogol,"Leh, 2.4 km to City centre","₹5,600",Hotel,8,Hotel,3
Bikamp at Leh,"Leh, 11.0 km to City centre","₹1,208",Camping Site,8.1,"Camping SiteBudget friendlyWe’ve awarded this accommodation our “Budget friendly” badge, which is reserved for quality accommodations that are cheaper than 70% of options at this destination on our site.",
The Zen Ladakh,"Leh, 0.9 km to City centre","₹6,351",Hotel,7.9,Hotel,4
Hotel Nalanda Ladakh,"Leh, 2.1 km to City centre","₹3,562",Hotel,8.1,Hotel,
Himalayan Eco Resort,"Leh, 228.3 km to City centre","₹3,408",Resort,7.4,Resort,
Hotel Lingzi,"Leh, 1.4 km to City centre","₹3,299",Hotel,7.9,Hotel,1
Grand Himalaya,"Leh, 1.9 km to City centre","₹9,866",Hotel,7.7,Hotel,4
Barath & Guest House,"Leh, 0.9 km to City centre","₹2,822",Hotel,7.8,Hotel,
Sand Dunes View Guest House,"Leh, 47.3 km to City centre","₹2,800",Guesthouse,7.5,GuesthouseEntire place21 m22 guests,
Ladakh Palace,"Leh, 2.3 km to City centre","₹4,498",Hotel,8,Hotel,
Lchangnang Retreat,"Leh, 53.2 km to City centre","₹11,390",Hotel,7.7,Hotel,
Spic n Span,"Leh, 1.1 km to City centre","₹3,584",Hotel,7.6,Hotel,3
Lotus eco resort,"Leh, 50.6 km to City centre","₹2,688",House / Apartment,7.5,House / Apartment,
Hotel Omasila,"Leh, 1.9 km to City centre","₹3,726",Hotel,8.3,Hotel,
Singge Palace,"Leh, 1.2 km to City centre","₹6,196",Hotel,8,Hotel,4
Shangrila,"Leh, 0.2 km to City centre","₹9,913",Hotel,7.9,Hotel,3
The Pangong,"Leh, 1.3 km to City centre","₹2,564",Hotel,7.9,Hotel,
Sangto Green Guest House,"Leh, 1.9 km to City centre","₹1,485",Bed & Breakfast,8.2,Bed & BreakfastEntire place4 guests1 bedroom1 bathroom,
Nathula Guest House,"Leh, 1.7 km to City centre","₹2,016",Guesthouse,8,"GuesthouseBudget friendlyWe’ve awarded this accommodation our “Budget friendly” badge, which is reserved for quality accommodations that are cheaper than 70% of options at this destination on our site.",
Royal Ladakh,"Leh, 1.7 km to City centre","₹5,152",Hotel,8.3,Hotel,
Sia La Guest House,"Leh, 1.2 km to City centre","₹2,259",Hotel,8.3,Hotel,
Antelope,"Leh, 1.9 km to City centre","₹6,407",Hotel,7.4,Hotel,3
Mystique Meadows Camp,"Leh, 1.9 km to City centre","₹5,294",Camping Site,8,Camping SiteEntire place3 guests,
Cho Palace,"Leh, 1.2 km to City centre","₹4,689",Hotel,7.9,Hotel,3
Nubra Ethnic Camp,"Leh, 2.5 km to City centre","₹5,596",Hotel,8,Hotel,
Silk Route Cottages,"Leh, 2.7 km to City centre","₹4,801",Hotel,7.2,Hotel,3
Hotel Dragon Leh,"Leh, 1.0 km to City centre","₹3,897",Hotel,7.5,Hotel,
Vamoose Gongma,"Leh, 0.9 km to City centre","₹2,853",House / Apartment,/,Just addedHouse / Apartment,
Hotel The Ladakh,"Leh, 2.0 km to City centre","₹5,148",Hotel,7.8,Hotel,2
Sangto Villa,"Leh, 1.6 km to City centre","₹3,631",Hotel,8.5,Hotel,3
Ser-Dung Guest House,"Leh, 2.3 km to City centre",₹809,Guesthouse,/,Guesthouse,
