Timestamp,Age,Gender,Marital Status,Which category best describes your primary area of employment?,In which city do you live?,How many night(s) do you plan to stay in Leh?,The people who will be accompanying you:,Estimated budget for the trip (per person)?,The purpose of taking the trip,Which type of accommodation would you prefer for the trip?,What are the activities you have planned to participate in during your stay?,Please tick the places that you have visited/ planning to visit during your trip to Leh.,Food and beverages(restaurant),Accessibility to public transport,Hotel facilities,Price of goods and services
27/08/2020 17:12:32,21,Female,Unmarried,Student,Bhopal,More than 5 days,Parents or Relatives,Between 10k and 25k,Holiday or vacation,Hotel,"Visit museums, Visit national parks, Visit historical places, Shopping, Restaurants/dining out","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Sand dunes Leisure Park, Magnetic Hill, Diskit Monastery, Nubra Valley",9,8,10,8
27/08/2020 17:14:42,22,Male,Unmarried,Student,Deoria,Less than 2 days,Friends,Below 10k,Holiday or vacation,Dormitory,"Biking, Water Sports or Boating, Visit entertainment places, nightclubs, Trekking, Hot springs, Camping","Pangong Tso Lake, Shanti Stupa, Royal Leh Palace, Hall of Fame, Thiksey monastery, Diskit Monastery, Alchi, Chadar Trek",9,6,7,7
27/08/2020 17:21:38,21,Female,Unmarried,Student,Gwalior,Between 2 to 5 days,Friends,Below 10k,Holiday or vacation,Dormitory,"Biking, Water Sports or Boating, Visit museums, Visit national parks, Visit entertainment places, nightclubs, Visit historical places, Shopping, Trekking, Restaurants/dining out, Hot springs, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Sand dunes Leisure Park, Panamik Village, Magnetic Hill, Kargil, Diskit Monastery, Central Asian Museum, Nubra Valley, Hemis National Park, Alchi, Chadar Trek, Changtang Wildlife Sanctuary",,,,
27/08/2020 17:30:16,22,Male,Unmarried,Student,Kota,Between 2 to 5 days,Girlfriend,Between 10k and 25k,Holiday or vacation,Hotel,"Visit entertainment places, nightclubs, Restaurants/dining out","Pangong Tso Lake, Gol Market",9,9,7,10
27/08/2020 17:31:52,20,Female,Unmarried,Student,Gwalior,More than 5 days,Friends,Above 25k,Holiday or vacation,Hotel,"Biking, Water Sports or Boating, Visit museums, Visit national parks, Visit entertainment places, nightclubs, Visit historical places, Shopping, Trekking, Restaurants/dining out, Hot springs, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Sand dunes Leisure Park, Panamik Village, Magnetic Hill, Kargil, Diskit Monastery, Central Asian Museum, Nubra Valley, Hemis National Park, Alchi, Chadar Trek, Changtang Wildlife Sanctuary",,,,
27/08/2020 17:43:16,21,Male,Unmarried,Student,Hathras,Between 2 to 5 days,Parents or Relatives,Between 10k and 25k,Visit friends or relatives,Hotel,"Biking, Water Sports or Boating, Visit museums, Visit national parks, Visit entertainment places, nightclubs, Visit historical places, Shopping, Trekking, Restaurants/dining out, Hot springs, Camping","Magnetic Hill, Diskit Monastery, Central Asian Museum, Nubra Valley, Hemis National Park, Alchi, Chadar Trek",,,,
27/08/2020 18:40:31,20,Female,Unmarried,Student,Noida,Between 2 to 5 days,Friends,Between 10k and 25k,Holiday or vacation,Guest house,"Biking, Water Sports or Boating, Visit entertainment places, nightclubs, Shopping, Trekking, Restaurants/dining out, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Sand dunes Leisure Park, Panamik Village, Magnetic Hill, Kargil, Diskit Monastery, Central Asian Museum, Nubra Valley, Hemis National Park, Alchi, Chadar Trek, Changtang Wildlife Sanctuary",,,,
29/08/2020 18:02:17,21,Male,Unmarried,Student,Lucknow,Less than 2 days,Friends,Below 10k,Holiday or vacation,Guest house,"Water Sports or Boating, Visit historical places, Trekking, Restaurants/dining out, Camping","Pangong Tso Lake, Shanti Stupa, Royal Leh Palace, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Magnetic Hill, Kargil",,,,
08/09/2020 15:38:28,21,Male,Unmarried,Student,Nanded,Less than 2 days,Friends,Below 10k,Holiday or vacation,Hotel,"Water Sports or Boating, Visit museums, Visit entertainment places, nightclubs, Shopping, Trekking, Hot springs","Shanti Stupa, Royal Leh Palace, Gurudwara Pathar Sahib, Hall of Fame, Panamik Village, Magnetic Hill, Diskit Monastery, Nubra Valley, Alchi, Chadar Trek",10,9,9,7
08/09/2020 15:38:46,19,Male,Unmarried,Student,delhi,Between 2 to 5 days,Friends,Below 10k,Holiday or vacation,Hotel,"Biking, Water Sports or Boating, Visit museums, Visit national parks, Hot springs, Camping",,,,,
08/09/2020 15:39:13,21,Male,Unmarried,Student,Vadodara,Between 2 to 5 days,Friends,Between 10k and 25k,Holiday or vacation,Guest house,"Biking, Visit museums, Visit national parks, Visit entertainment places, nightclubs, Visit historical places, Shopping, Restaurants/dining out, Hot springs, Camping","Shanti Stupa, Khardung-la Pass, Gol Market, Gurudwara Pathar Sahib, Thiksey monastery, Panamik Village, Diskit Monastery, Hemis National Park, Chadar Trek",,,,
08/09/2020 15:39:15,20,Male,Unmarried,Student,Durgapur,Between 2 to 5 days,Friends,Below 10k,Holiday or vacation,Guest house,"Water Sports or Boating, Visit national parks, Visit historical places, Trekking, Restaurants/dining out, Camping","Tiger Hill, Royal Leh Palace, Hall of Fame, Magnetic Hill, Diskit Monastery, Central Asian Museum, Chadar Trek",,,,
08/09/2020 15:39:17,21,Male,Unmarried,Student,"Etawah, Uttar Pradesh",Between 2 to 5 days,Friends,Between 10k and 25k,Holiday or vacation,Hotel,"Biking, Water Sports or Boating, Visit entertainment places, nightclubs, Trekking, Restaurants/dining out, Camping","Pangong Tso Lake, Khardung-la Pass, Gurudwara Pathar Sahib, Thiksey monastery, Nubra Valley, Chadar Trek",,,,
08/09/2020 15:39:29,21,Male,Unmarried,Student,Nepalgunj,Between 2 to 5 days,Friends,Between 10k and 25k,Holiday or vacation,Hotel,"Biking, Water Sports or Boating, Visit national parks, Visit entertainment places, nightclubs, Shopping, Trekking, Restaurants/dining out, Hot springs, Camping","Pangong Tso Lake, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Kargil, Nubra Valley",,,,
08/09/2020 15:41:11,20,Male,Unmarried,Student,kota,Between 2 to 5 days,Friends,Between 10k and 25k,Holiday or vacation,Guest house,"Biking, Water Sports or Boating, Visit entertainment places, nightclubs, Trekking, Restaurants/dining out, Hot springs, Camping","Pangong Tso Lake, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Magnetic Hill, Diskit Monastery, Nubra Valley, Hemis National Park, Alchi, Chadar Trek, Changtang Wildlife Sanctuary",8,8,9,9
08/09/2020 15:41:12,20,Female,Unmarried,Student,Gwalior,Between 2 to 5 days,Friends,Below 10k,Holiday or vacation,Dormitory,"Biking, Water Sports or Boating, Trekking, Restaurants/dining out, Hot springs, Camping",,,,,
08/09/2020 15:41:14,23,Female,Unmarried,Employee,Varanasi ,Between 2 to 5 days,Friends,Between 10k and 25k,Holiday or vacation,Hotel,"Water Sports or Boating, Visit entertainment places, nightclubs, Visit historical places, Trekking, Restaurants/dining out, Hot springs, Camping","Pangong Tso Lake, Khardung-la Pass, Royal Leh Palace, Gurudwara Pathar Sahib, Kargil",,,,
08/09/2020 15:41:19,23,Male,Unmarried,Student,Lucknow,Between 2 to 5 days,Friends,Between 10k and 25k,Holiday or vacation,Dormitory,"Biking, Water Sports or Boating, Trekking, Restaurants/dining out, Hot springs, Camping","Pangong Tso Lake, Tiger Hill, Khardung-la Pass, Thiksey monastery, Magnetic Hill, Kargil, Diskit Monastery, Chadar Trek, Changtang Wildlife Sanctuary",7,5,8,7
