Name,Address ,Main Location,Description,Rating,Open time,Close time,Cost for two,Cuisines
Sorriso Pizza,"2nd Floor, Al Hayat Building, Main Bazaar, Leh",Main Bazaar,Quick Bites,4.9,10:30,22:00,500,"Pizza, Fast Food"
The Tibetan Kitchen,"Old Fort Road, Near J&K Bank, Main Bazaar, Leh",Main Bazaar,Casual Dining,3.5,12:00,23:00,400,"North Indian, Chinese, Tibetan"
U.S.Pizza,"First Floor, AMI Complex, Main bazaar, Leh",Main Bazaar,Quick bites,3.6,11:00,23:00,500,"pizza, salad"
Gesmo Restaurant,"Shamsha Complex, Fort Road, Main Bazaar, Leh",Main Bazaar,"Quick Bites, bakery",3.2,11:00,23:00,400,"Chinese, Bakery"
Himalayan Cafe,"2nd Floor, Samkar Complex, Main Bazaar, Leh",Main Bazaar,cafe,3.9,11:00,23:00,600,"Cafe, Tibetan, Chinese, Continental"
Neha Snacks,"Main Bazaar, Leh",Main Bazaar,Quick Bites,3.9,09:00,21:30,600,"North Indian, South Indian"
Dogra's Dhaba,"Fort Road, Main Bazaar, Leh",Main Bazaar,Quick Bites,3,09:00,22:00,300,"Chinese, North Indian"
Lehvenda Cafe,"2nd Floor, Mengon Shopping Complex, Main Bazaar, Leh",Main Bazaar,cafe,3.9,10:00,21:00,300,"Cafe, Coffee"
Wazwan Planet Restaurant,"Main Bazaar, Leh",Main Bazaar,Quick Bites,3.7,12:00,22:00,400,"North Indian, Chinese, Continental"
Dreamland Restaurant,"Fort Road, Leh, Main Bazaar, Leh",Main Bazaar,Causal Dining,3.7,11:00,23:00,700,"North Indian, Chinese, Tibetan"
Lamayuru Restaurant,"Near Hitel Yaktail, Fort Road, Main Bazaar, Leh",Main Bazaar,Quick Bites,3.6,11:00,23:00,500,"Chinese, Continental"
Eclectic Kitchen,"Opposite Girl Higher Secondary School, Old Road, Main Bazaar, Leh",Main Bazaar,Causal Dining,3.3,11:00,22:30,600,"Kashmiri, Mughlai, Chinese, North Indian"
Bonfire,"Near J&K Bank ATM, Changspa Road, Main Bazaar, Leh",Main Bazaar,Causal Dining,3.6,09:00,23:00,600,"Italian, North Indian, Fast Food"
Parsa's,"Opposite Post Office, Main Market, Leh",Main Bazaar,Cafe,3.8,11:00,23:00,500,"Cafe, Fast Food"
The Parantha,"LBA Complex, Main Bazaar, Leh",Main Bazaar,Quick Bites,3.4,11:00,23:00,300,North Indian
Chef's Kitchen,"2nd Floor, Near Post Office, Main Market, Leh",Main Bazaar,Casual Dining,3.1,10:00,23:00,500,"North Indian, Chinese, Tibetan"
Hoppipolar,"GH Road, Skara Road, Leh",Skara Road,Cafe,3.5,11:00,22:00,500,"Cafe, Chinese, Continental"
Dontang,"Shenam, Fort Road, Main Bazaar, Leh",Main Bazaar,Casual Dining,2.9,08:30,23:30,400,"North Indian, Chinese, Continental"
Bon Appetit Restaurant & French Bakery,"Raku Complex, Fort Road, Main Bazaar, Leh",Main Bazaar,Quick Bites,3.3,11:00,23:00,350,"North Indian, Chinese, Bakery"
Chopsticks,"Fort Road, Main Bazaar, Leh",Main Bazaar,Casual Dining,3.4,11:00,23:00,600,Asian
Desi Food Corner,"Balkhang Chowk, Main Bazaar, Leh",Main Bazaar,quick bites,2.6,11:00,23:00,350,"North Indian, Fast Food"
Chick Leh,"Tibet Mall, Near MC Parking, Main Bazaar, Leh",Main Bazaar,Quick Bites,3.2,11:00,23:00,500,"Fast Food, Burger"
Sky Wok Restaurant & Cafe,"Chinese, Tibetan, Continental",Main Bazaar,Casual Dining,3.7,11:00,23:00,500,"Chinese, Tibetan, Continental"
Coffee Culture,"Cafe, American, Continental",Main Bazaar,Cafe,3.9,08:00,23:00,350,"Cafe, American, Continental"
IL Forno,"Italian, Continental, North Indian, Beverages",Main Bazaar,Casual Dining,2.8,12:00,00:00,700,"Italian, Continental, North Indian, Beverages"
La Piazzetta,"Near Moravian School, Changspa Road, Main Bazaar, Leh",Main Bazaar,Casual Dining,3.8,09:00,23:00,2000,"North Indian, Chinese, Continental, Mexican, Thai, Italian"
Namza Coutre & Cafe,"Near Merathon Office, Zangsti Road, Main Bazaar, Leh",Main Bazaar,Cafe,3.9,10:00,22:00,400,"Cafe, Italian"
Rabsal Cafe,"2nd Floor, Metsig Complex, Main Bazaar, Leh",Main Bazaar,cafe,-,11:00,23:00,600,Cafe
Leh Dhaba,"Old Fort Road, Near J&K Bank, Main Bazaar, Leh",Main Bazaar,Casual Dining,3.4,11:00,23:00,500,North Indian
Ladakh Himalyan Bakery,"Old Road, Shenam, Opposite Hotel Royal Palace, Main Bazaar",Main Bazaar,Bakery,-,11:00,20:00,300,Bakery
Prashar Restaurant,"Opposite Ladakh Public School, Near SBI Bank, Skara Road,Leh",Sakara road,quick bites,3.8,11:00,22:00,300,North Indian
Chaska Maska Restaurant,"Taskan Complex, Main Bazaar, Leh",Main Bazaar,quick bites,-,11:00,21:00,400,"South Indian, Fast Food, Chinese"
Cozy Corner,"Near Old Power House, Fort Road, Leh, Main Bazaar, Leh",Main Bazaar,casual Dining,-,11:00,21:00,600,"North Indian, Tibetan"
Chai Garam,"Main Bazaar, Leh",Main Bazaar,Cafe,3.9,11:00,23:00,500,"Cafe, Tibetan"
Local Cuisine,"Shop 16, LBA Complex, Main Bazaar, Leh",Main Bazaar,quick bites,2.8,09:00,23:00,300,"Chinese, Tibetan"
Taste Of Wazwan,"Java Complex, Main Bazaar, Leh",Main Bazaar,casual Dining,-,11:00,22:00,600,North Indian
Sky Light Terrace Restaurant,"Skara Leh, Skara Road, Leh",Sakara road,Quick Bites,-,09:00,22:30,400,"North Indian, Italian, Chinese"
Wanderers Terrace and Cafe,"3rd Floor, Tsewang Phuntsog Building, Main Bazaar, Leh",Main Bazaar,Cafe,-,11:00,23:30,600,"Cafe, Chinese, North Indian, Middle Eastern"
Rendezvous Cafe,"Zangsti Chowk, Leh, Main Bazaar, Leh",Main Bazaar,quick bites,,11:00,22:30,400,"Chinese, Italian"
Biryani Queen,"2nd Floor, Mengon Complex, Main Bazaar, Leh",Main Bazaar,quick bites,,10:00,00:00,500,Biryani
The Turnip,"Near Gompa Soma, Main Bazar, Leh",Main Bazaar,casual Dining,,10:00,23:00,500,North Indian
Barista,"Near SBI Bank, Main Market, Leh",Main Bazaar,cafe,,08:00,23:00,500,"Cafe, Fast Food"
La Terrasse,"Main Bazaar, Leh",Main Bazaar,quick bites,,08:00,23:00,500,"Chinese, Goan"
Momo House,"Near Post Office, Main Bazaar, Leh",Main Bazaar,quick bites,,11:00,23:00,300,"Momos, Chinese, Tibetan"
