Name,Description,Category
Pangong Tso,"""The best way to visit this place is to stay overnight as one then gets to see the lake in its various moods and time....in the afternoon under the blazing day sun, in the evening while the sun is setting , the ear...""""The beautiful lake in the Himalayas ,at a height of about 14,000ft is approachable after crossing the second highest motorable pass ,The Changla Pass and an ardrous drive of over five hours from LEH..""",Nature & Parks
Thiksey Monastery,"""Its the largest Monastery of 12 storey complex in central Ladakh and famous for the Golden and very beautiful 15 meters high statue of Maitreya Buddha.""""One of the highlights of the monastery is the Maitreya Temple installed to commemorate the visit of the 14th Dalai Lama to this monastery in 1970 It contains a 49 ft high statue of Maitreya, the largest such statu...""",Sights & Landmarks
Confluence of the Indus and Zanskar Rivers,"""Zanskar river rafting is the world’s highest river rafting point offering a breathtaking view towards a valley meeting at the Sangam point merging with Indus River a confluence point where the two colours of the r...""""Amazing view of meeting point in mountain ranges.It is situated at 25 kilometers from Leh towards Shrinagar Highway.""",Sights & Landmarks
Hall of Fame,"""Visit to the Hall of Fame dedicated to the martyrs who made supreme sacrifice for protection of our motherland makes one humbled when he stands at the memorial for the brave soldiers who have given their toady for...""""wonderful army museum is built by Indian Army with two floor with different kind of weaponry and apparels of army. it was built in memory of those brave Indian soldiers who gave their life in war with Pakistan.you""",Museums
Gurdwara Pathar Sahib,"""Gurudwara Pathar Sahib Is Just 20 Kms Away From Entering The Leh City ,Its Purely Maintained By Our Indian Army Jawans Doing 24 hrs Sewa Chai N langar There U will always get there when u visit ...Guru Nanank Dev...""""Visited along with my friends while driving from Srinagar to Leh, it's a must visit place especially during Sunday when lots of devotees throng this holy place.""",Sights & Landmarks
Shanti Stupa,"""It’s atop a hill and it’s very serene - a must visit - it has a walkway and stairs - keep yourself hydrated - view from the Stupa is just awesome - it has a gompa and a meditation hall alongwith public convenience...""""The Shanti Stupa was built to promote world peace and prosperity and to commemorate 2500 years of Buddhism.""",Sights & Landmarks
Tanglang La,"""We travelled from Manali to Leh on NH3 and passed through Rohtang Pass, Nakeela Pass, Lachungla Pass and Tanglang La pass which is the 2nd high mountain pass in the world and lies at an elevation of 5328 meters (1...""""Thankful to the Universal Almighty WAHEGURU for taking me & my Wife to such great place, humbled to have visited the second highest motorable road.""",Outdoor Activities
Hemis National Park,"""The rare Snow Leopard, Ibex and other wildlife are seen in aplenty in this region where these wild animals live""""Markha Valley trek through Hemis NP was a wonderful way to experience the dramatic landscapes, ancient chortems and mani walls, and fascinating villages of this amazing part of Ladakh.""",Nature & Parks
Alchi Choskor Monastery,"""It’s 11 th century monastery with beautiful murals.""""Some of the paintings and murals are reminiscent of the painting of the far off Ajanta Caves and are presumed to be almost the sole survivors of the Buddhist style, The village is lined with apricot trees, mud bri...""",Sights & Landmarks
Likir Monastery,"""It is picturesquely situated on a little hill in the valley, in Likir village near the Indus River about 9.5 kilometres north of the Srinigar to Leh highway""""Coming back from Temisgam to Leh Likir Monastery is around 4 KM from the main road, It's a beautiful place to visit with amazing atmosphere and great views.""",Sights & Landmarks
Deskit Monastery,"""Diskit Monastery a really great place to visit.Maitri buddha statue is simply wow.The monastery gives u a 360 view of Nubra Valley.Monastery takes back u into history were u can see artifacts thousands of years ol...""""One of the must visit place in Nubra valley, this monastery is located some hight and hence provides a beautiful view of entire valley.""",Sights & Landmarks
Magnetic Hill,"""Magnetic hill where gravity takes a backseat and park your vechile at a certain point on the Magnetic Road, a few meters away from magnetic Hill, stands a yellow box where you must park your car in neutral gear.""""This place is really worth visiting once in life time.this is kind of optical illusion which makes you feel that your vehicle is moving in opposite direction of gravity.""",Nature & Parks
Markha Valley,"""The highest point is 3800 so this is an ideal trek for altitude acclimatizing.""""If you’re relatively fit I think is a good option to do it in 4 days as it follows: day 1: Chilling to Sara day 2: Sara to Hankar day 3: Hankar to Nimaling day 4: Nimaling to Shang Sondu (cab to Leh)""",Nature & Parks
Sand Dunes Leisure Park,"""Best attraction of Hunder... white sand, double hump camels, pleasant weather, beautiful backdrop to click pics...what else one wants... go for it.""""Same altitude as Leh (10,600 feet above see level) These two humped camels are natives of Mongolia in Central Asia and were brought to Nubra Valley during the silk route trade era.""",Nature & Parks
Spituk Monastery,"""This is a old and famous Monastery in Spituk village in Leh.View of the Leh airport and city is Scenic.. there is a kaali temple also..must visit""""Spituk is yet another interesting monastery, on the hill top near Indus about 18 kms.""",Sights & Landmarks
Stok Palace Museum,"""The King and Queen Dresses, photographs, coins, utensils, arm gear, and weapons.""""It contains all the necessary elements of any royal home, wardrobe, utensils, artefacts and trophies.""",Museums
Leh Royal Palace,"""... the colourfully muralled Chandazik Gompa and the 1430 Chamba Lhakhang, with medieval mural fragments located between the inner and outer walls.The palace is being restored by the Archaeological Survey of India.""""... there’s explanations in there Just walk up the hill, pay entrance ticket (about 300rs I think? ) then you can explore freely There’s photos inside of before and after the restoration work which is interesting""",Sights & Landmarks
Basgo Monastry,"""It is situated in a stunning location and the views alone are worth the trip to go there.""""The Basgo monastry is located at Nimu village about 32 KMs from Leh City towards Kargil.""",Sights & Landmarks
Prayer Wheel,"""While you will find them in every Buddhist Temple, Gumpha or Monastery, series of these Wheels are a tourist attraction on the Fort Road near Leh market.""""Next time you go to Ladakh, say a little prayer, fill your heart with gratitude and rotate the prayer wheels and allows them to unwind the complications in your mind.""",Sights & Landmarks
Shey Monastery,"""It was used as a summer retreat by the kings of Ladakh.""""It’s a very beautiful and a must visit place""",Sights & Landmarks
Zanskar the Virgin Valley,"""Amazing place for adventurers""""If you stay in Leh you have to visit as much Monasteries as you can, Every Monastery has a spectacular view and its own atmosphere.""",Nature & Parks
Chemrey Monastery,,Sights & Landmarks
Namgyal Tsemo Gompa,"""Its an experience that you can tell your friends climbed the hill to reach the Tsemo Gompa at 14000 Ft. above sea level.""""A small monastery high above Leh.""",Sights & Landmarks
Stok Kangri,"""We got rain lower down and snow from base camp onwards so made the last section technical with use of ropes and crampons etc. the summit ridge is steep and exposed and tricky under snow and ice, so you need to be...""""... Mt.Stok Kangri(6,153m)is the highest mountain in the Stok range of the Himalayas which is situated in the Hemis National Park, in the Ladakh region, Jammu and Kashmir in India.""",Nature & Parks
Riasi Fort or Zorawar Fort,"""General Zorawar Fort Light and Sound Show is a must-visit attraction when you visit the city.""""He fought bravely till end to expand the Kingdom. he reached Mansarovar and opened horizons for future.""",Sights & Landmarks
Tso kar Lake,"""Also this lake hasn't been invaded by tourists, so it's way peaceful than other places.The lake gives a good chance of wildlife spotting including gazelles, kiang and crebes, black necked cranes among the birds.""""At certain times, you can see a perfect mirror image which is naturally formed by the calm water in the lake Often termed as a treat for bird watchers (sometimes also spotting of black necked cranes is reported),...""",Nature & Parks
Matho Monastery,"""The museum has been constructed and has some real ancient sculptures and paintings which has been restored with much difficulties.""""Mathos Monastery is mostly off the tourist trail as its 26kms away from Leh. However its worth a visit as it commands an astounding view of the snowy Stok mountain set against vast arid plains overlooking the Math...""",Sights & Landmarks
Tibetan Market,,Shopping
Namgyal Tsemo Monastery,"""Build out of rocks and mud.""""The Namgyal Tsemo Gompa (Monastery) stands atop the crag behind Leh Palace, having a full view of the town of Leh.""",Sights & Landmarks
Leh Post Office,"""Just a stroll in the area with shops lined up on both sides, the light poles and locals selling vegetables is refreshing.""",Sights & Landmarks
Rezang La War Memorial,"""We were guests of Army and had best of stays in remote locations and wonderful visits to places in Ladakh.""""There is also a Chushul War Memorial, made to commemorate the sacrifice and bravery of Indian Soldiers from the Artillery Division in the 1962 Indo-China War.""",Sights & Landmarks
Sindhu Ghat,"""Indus or Sindhu is one of the holiest river of Hinduism and Buddhism .""""Sindhu Ghat is the banks of the Indus River in the Ladakh.""",Nature & Parks
Kyagar Tso,"""While on way to Tsomriri a beautiful saline water lake situated at an elevation of 4705 meters attracts every traveler The lake lies in Rupsu valley,A very barren breathtaking beautiful view is around the lake.""",Nature & Parks
Stakna Monastery,"""The Monastery is located on a small hill which is shaped like a tiger’s nose and hence the name.""",Sights & Landmarks
Phyang Monastery,"""Phyang monastery is very Near to Leh City Just Like 15 To 16 kms.""""on the leh kargil highway if you are visiting leh in may or june then you must go this village you will be amazed by watching the monastery and the ice stupa specially hope there information will be helpful to you""",Sights & Landmarks
Panamic Hot Sulphur Springs,,Nature & Parks
Saspol Caves,"""Unfortunately, ppl dont know about these buddhist caves with well maintained frescoes, but Saspol is the famous place because of Alchi and Likir monasteries.""",Nature & Parks
The Ladakh Arts and Media Organisation,"""The Centre is designed to conduct outreach programs, lectures, film screenings, research and documentation projects, workshops and exhibitions that showcase Ladakh’s material and visual culture, performing arts an...""""A place where you can joy and spent a great time with the LAMO.""",Sights & Landmarks
Leh Market,"""Locals were selling veggies on the road side which was a delight!""""People from all over world travel to leh ladakh, Visiting market of leh is best, you will find Pashmina shawl, kashmiri Shawl, apricot dry fruits original of leh ladakh, Ladakh Tshirts, hoodies etc and other side...""",Shopping
Central Asian Museum,"""Leh was at crossroads of Silk Road, so visitor get chance to see various interior design influences as well as artifacts ftom across the region.""""Gives an insight about the history of Ladakh and it's old links with central Asia.""",Sights & Landmarks
Old Raku House,"""A must visit house with museum, art gallery ,traditional toilet and a good open space to refresh your mind apart from this, this is a centre for workshop, yoga , seminar and different programs and lastly I will li...""""I had a wonderful and amazing experience in visiting this 150 years old Ladakhi traditional house know as Raku house/ Youth cultural centre situated in Leh.""",Museums
Donkey Sanctuary,,Nature & Parks
Jama Masjid - Leh,"""It is Located in the central part of the Leh town echoing call to prayer 5 times a day.""""Situated in the main market.This mosque is quite grand.I happened to be here on friday I offered my friday prayer here.The mosque is well maintained and very good arrangement inside.I learnt that this is a histori...""",Sights & Landmarks
Ladakh Rocks & Minerals Museum,"""As I am an enthusiast of minerals I asked Punchok to do some mineral chasing around Ladakh, as my schedule was tight, we had only one day, but it was sufficient time as to see beautiful quartz, pirites, hematites,...""",Museums
Sankar Monastery,,Sights & Landmarks
Monastery Circuit,"""Diskit or Likir have a larger than life size avatar of Maitreya Buddha along with beautiful paintings and frecos.""""The monastery is located in the beauty of leh city with the easy access to reach.""",Sights & Landmarks
Samstanling Monastery,"""Very nice, quite and beautiful monastery in Nubra Valley...""",Sights & Landmarks
Chemre Gompa Monastery,"""The very friendly atmosphere and kindness of monk attending to us also made it worth the trip""""The museum is on the top floor, and one of the best and complete in Ladakh region.""",Sights & Landmarks
Gurudwara Shri Datun Sahib Ji,,Sights & Landmarks
Rangdum Gompa,,Sights & Landmarks
Library Road Vegetable Market,"""I would stay close to this road as it has many options in restaurants, cafes, and some shops.""""Library Road Vegetable Market Is Very Near to Main Market.""",Shopping
Chokhang Vihara Temple,,Sights & Landmarks
Du-Khang,"""The entire wall of the sanctum is covered with beautiful small frescoes.""""we visited this place while visiting alchi monastery, nice paintings , many foreigners visit this place""",Sights & Landmarks
Sum-tsek,,Sights & Landmarks
Temple at Sumda Chun,,Sights & Landmarks
Lotsawa Lha-Khang,,Sights & Landmarks
Gomang Stupa,"""It dates back to the 9th century, though it is freshly whitewashed, giving it a more recent appearance.""",Sights & Landmarks
Prayer Wheel,,Sights & Landmarks
Tsarap Chu River,,Nature & Parks
Serzang Temple,,Sights & Landmarks
Vajra Bhairav Shrine,,Sights & Landmarks
Manjushri Lha-Khang,,Sights & Landmarks
Lachung Temple,,Sights & Landmarks
Tingmosgang Monastery,,Sights & Landmarks
Soma Gompa,,Sights & Landmarks
Textile Museum of Ladakh,,Museums
Kalachakra Stupa,,Sights & Landmarks
Gyap-Thago Heritage Home,,Museums
Karma Dupgyud Choeling Monastery,,Sights & Landmarks
Shagma Karphu,,Sights & Landmarks
The Little Paradise,,Museums
Ladakh Haat Juma Bagh,,Fun & Games
Stupa at T- Suru,,Sights & Landmarks
Hidden North Adventures,,Nature & Parks
Vajra Bhairav Shrine,,Sights & Landmarks
Manjushri Lha-Khang,,Sights & Landmarks
Lachung Temple,,Sights & Landmarks
Tingmosgang Monastery,,Sights & Landmarks
Soma Gompa,,Sights & Landmarks
Textile Museum of Ladakh,,Museums
Kalachakra Stupa,,Sights & Landmarks
Gyap-Thago Heritage Home,,Museums
Karma Dupgyud Choeling Monastery,,Sights & Landmarks
Shagma Karphu,,Sights & Landmarks
The Little Paradise,,Museums
Ladakh Haat Juma Bagh,,Fun & Games
Stupa at T- Suru,,Sights & Landmarks
Hidden North Adventures,,Nature & Parks
